Word,Count,Affinity Score,Final Score
abandoned,4,-2,-8
ability,1,2,2
abuse,1,-3,-3
abusing,1,-3,-3
accept,4,1,4
acceptance,1,1,1
accepted,3,1,3
accepting,1,1,1
accomplishment,1,2,2
accusation,1,-2,-2
accusations,1,-2,-2
accused,1,-2,-2
accusing,1,-2,-2
aching,2,-2,-4
active,1,1,1
adequate,1,1,1
admired,1,3,3
admiring,2,3,6
admit,7,-1,-7
adores,1,3,3
adventure,1,2,2
affected,3,-1,-3
affection,1,3,3
affectionate,3,3,9
afraid,40,-2,-80
aghast,2,-2,-4
agree,4,1,4
agreed,17,1,17
agrees,1,1,1
alarm,1,-2,-2
alas,2,-1,-2
alert,3,-1,-3
alive,17,1,17
allow,3,1,3
alone,38,-2,-76
amazed,1,2,2
amuse,2,3,6
amused,12,3,36
amusement,6,3,18
anger,3,-3,-9
angry,9,-3,-27
annoyance,1,-2,-2
annoyed,3,-2,-6
annoys,1,-2,-2
anxiety,1,-2,-2
anxious,6,-2,-12
apology,2,-1,-2
appealing,2,2,4
apprehensive,3,-2,-6
approved,1,2,2
arrogant,3,-2,-6
ashamed,5,-2,-10
astonished,2,2,4
astound,1,3,3
atrocious,1,-3,-3
attacked,2,-1,-2
attacking,1,-1,-1
attacks,2,-1,-2
attract,2,1,2
attractions,1,2,2
attractive,1,2,2
authority,3,1,3
avoid,2,-1,-2
await,1,-1,-1
awful,7,-3,-21
awkward,5,-2,-10
backed,1,1,1
backing,2,2,4
backs,2,1,2
bad,10,-3,-30
badly,5,-3,-15
badness,1,-3,-3
barrier,4,-2,-8
beaten,1,-2,-2
beating,1,-1,-1
beautiful,3,3,9
beauty,2,3,6
benefactor,1,2,2
best,12,3,36
better,19,2,38
big,10,1,10
bitter,1,-2,-2
bitterly,3,-2,-6
blame,1,-2,-2
blaming,2,-2,-4
bless,1,2,2
blessing,1,3,3
blind,3,-1,-3
bliss,2,3,6
block,1,-1,-1
bloody,1,-3,-3
bold,2,2,4
bore,1,-2,-2
bored,2,-2,-4
bother,4,-2,-8
bothered,1,-2,-2
brave,5,2,10
bright,14,1,14
brightness,1,1,1
broke,6,-1,-6
broken,15,-1,-15
brooding,1,-2,-2
brutally,1,-3,-3
burden,1,-2,-2
calm,3,2,6
capable,2,1,2
care,17,2,34
carefree,2,1,2
careful,6,2,12
carefully,19,2,38
cares,1,2,2
caring,3,2,6
certain,8,1,8
challenge,2,-1,-2
chance,11,2,22
chances,2,2,4
charming,6,3,18
cheating,1,-3,-3
cheered,1,2,2
cheerful,5,2,10
cheerfully,2,2,4
cherished,1,2,2
childish,1,-2,-2
chilling,1,-1,-1
clean,8,2,16
clear,19,1,19
cleared,3,1,3
clearly,29,1,29
clears,2,1,2
clever,2,2,4
clouded,1,-1,-1
collapse,1,-2,-2
comfortable,16,2,32
comfortably,3,2,6
comforting,1,2,2
comforts,1,2,2
comic,1,1,1
complacent,1,-2,-2
complain,1,-2,-2
complained,1,-2,-2
concerned,1,-2,-2
condemned,2,-2,-4
confidence,3,2,6
confidently,2,2,4
confuse,1,-2,-2
congratulate,1,2,2
contemptuous,1,-2,-2
cool,7,1,7
corrupt,1,-3,-3
courage,4,2,8
courageous,1,2,2
courteous,2,2,4
coward,2,-2,-4
cowardly,1,-2,-2
crash,8,-2,-16
crazy,13,-2,-26
cried,5,-2,-10
crimes,1,-3,-3
cruel,3,-3,-9
crushed,1,-2,-2
cry,12,-1,-12
crying,6,-2,-12
curious,5,1,5
curse,1,-1,-1
cut,5,-1,-5
cynical,1,-2,-2
cynicism,1,-2,-2
damage,1,-3,-3
damn,8,-2,-16
danger,4,-2,-8
dangerous,1,-2,-2
daredevil,2,2,4
daring,3,2,6
darkness,19,-1,-19
dead,10,-3,-30
deadly,3,-3,-9
deafening,1,-1,-1
dear,33,2,66
death,16,-2,-32
deaths,1,-2,-2
defenders,1,2,2
delay,4,-1,-4
delicious,1,3,3
delight,6,3,18
delighted,5,3,15
delightful,1,3,3
delightfully,1,3,3
delighting,1,3,3
demand,1,-1,-1
demanded,5,-1,-5
deplore,1,-3,-3
despair,4,-3,-12
desperately,3,-3,-9
destroyed,4,-3,-12
destroying,1,-3,-3
destructive,1,-3,-3
determined,4,2,8
devoted,3,3,9
die,4,-3,-12
died,12,-3,-36
difficult,5,-1,-5
dignity,2,2,4
dirty,11,-2,-22
disagreement,1,-2,-2
disappointment,1,-2,-2
disastrous,1,-3,-3
disbelieve,1,-2,-2
disguise,3,-1,-3
disguised,1,-1,-1
disgusting,1,-3,-3
dishonest,1,-2,-2
disjointed,1,-2,-2
dislike,5,-2,-10
disliked,2,-2,-4
dislikes,1,-2,-2
dismal,1,-2,-2
dismissed,2,-2,-4
displeased,1,-2,-2
distasteful,1,-2,-2
distorted,2,-2,-4
disturb,1,-2,-2
disturbed,1,-2,-2
disturbing,1,-2,-2
dizzy,3,-1,-3
doubt,6,-1,-6
doubtful,1,-1,-1
doubts,2,-1,-2
dreadful,2,-3,-6
dream,5,1,5
dreams,1,1,1
dreary,2,-2,-4
drop,6,-1,-6
dropped,6,-1,-6
drown,1,-2,-2
drowned,2,-2,-4
dubious,1,-2,-2
dull,5,-2,-10
dying,3,-3,-9
eager,2,2,4
earnest,1,2,2
easy,5,1,5
eerie,1,-2,-2
effortlessly,1,2,2
elegant,1,2,2
embarrassed,6,-2,-12
embarrassing,1,-2,-2
embarrassment,2,-2,-4
embrace,2,1,2
emptiness,1,-1,-1
empty,7,-1,-7
enchanted,1,2,2
encouraging,1,2,2
enemy,3,-2,-6
engage,2,1,2
enjoy,1,2,2
enjoyed,1,2,2
enjoying,4,2,8
envy,1,-1,-1
errors,1,-2,-2
escape,3,-1,-3
escaping,1,-1,-1
evil,8,-3,-24
exaggerated,1,-2,-2
excellent,3,3,9
excited,4,3,12
excitement,5,3,15
exciting,3,3,9
excuse,6,-1,-6
exhausted,2,-2,-4
exhilarating,1,3,3
exposed,1,-1,-1
exquisite,2,3,6
extend,1,1,1
fair,7,2,14
faith,1,1,1
fallen,9,-2,-18
falling,6,-1,-6
famous,2,2,4
fan,1,3,3
fantastic,1,4,4
fatal,1,-3,-3
favorite,1,2,2
favors,1,2,2
fear,15,-2,-30
fearful,1,-2,-2
feeble,1,-2,-2
feeling,16,1,16
fight,4,-1,-4
fighting,1,-2,-2
fine,13,2,26
finest,1,3,3
fire,39,-2,-78
fit,5,1,5
filthy,7,-2,-14
flaws,1,-2,-2
fond,2,2,4
fondness,1,2,2
fool,17,-2,-34
foolish,7,-2,-14
fools,2,-2,-4
forbidden,3,-2,-6
forbidding,1,-2,-2
forced,6,-1,-6
forget,9,-1,-9
forgive,3,1,3
forgot,2,-1,-2
forgotten,6,-1,-6
fortune,1,2,2
foul,3,-3,-9
frantic,1,-1,-1
free,6,1,6
fresh,4,1,4
friend,10,1,10
friendly,1,2,2
frightened,20,-2,-40
frightening,2,-3,-6
frowning,2,-1,-2
fun,6,4,24
funny,7,4,28
furious,1,-3,-3
gallant,1,3,3
gallantry,1,3,3
generously,2,2,4
ghastly,1,-2,-2
ghost,9,-1,-9
glad,7,3,21
glee,1,3,3
gleeful,1,3,3
glorious,1,2,2
god,7,1,7
gold,11,2,22
good,81,3,243
goodness,1,3,3
grace,1,1,1
grand,1,3,3
grant,2,1,2
grateful,6,3,18
grave,1,-2,-2
gray,7,-1,-7
great,44,3,132
greater,1,3,3
greeted,1,1,1
greeting,2,1,2
grieved,1,-2,-2
grim,1,-2,-2
groaning,1,-2,-2
growing,5,1,5
guilt,2,-3,-6
guilty,1,-3,-3
hacked,1,-1,-1
handsome,3,3,9
happiness,5,3,15
happy,18,3,54
hard,16,-1,-16
harm,1,-2,-2
harsh,1,-2,-2
harshly,1,-2,-2
hate,7,-3,-21
hated,2,-3,-6
hates,1,-3,-3
hating,3,-3,-9
hatred,1,-3,-3
haunted,15,-2,-30
haunting,12,1,12
healthy,2,2,4
heartfelt,1,3,3
heartless,1,-2,-2
heaven,8,2,16
hell,5,-4,-20
help,28,2,56
helpful,1,2,2
helping,2,2,4
helpless,5,-2,-10
hesitate,1,-2,-2
hide,4,-1,-4
hideous,1,-3,-3
hiding,1,-1,-1
hollow,4,-1,-4
homeless,1,-2,-2
homesick,4,-2,-8
honest,3,2,6
honor,2,2,4
hope,23,2,46
hopeful,2,2,4
hopefully,7,2,14
hopes,2,2,4
hoping,4,2,8
horrible,13,-3,-39
hostile,1,-2,-2
hug,1,2,2
huge,5,1,5
humor,4,2,8
humorous,2,2,4
hurt,12,-2,-24
hurting,2,-2,-4
hysteria,2,-3,-6
hysterical,2,-3,-6
idiot,1,-3,-3
ignorant,1,-2,-2
ill,2,-2,-4
illness,1,-2,-2
imbecile,1,-3,-3
impatient,1,-2,-2
importance,1,2,2
important,2,2,4
impressive,2,3,6
imprisoned,1,-2,-2
improper,1,-2,-2
inability,2,-2,-4
inadequate,1,-2,-2
incoherent,1,-2,-2
indignation,1,-2,-2
ineffectual,3,-2,-6
infested,1,-2,-2
infuriating,1,-2,-2
injustice,2,-2,-4
insanity,1,-2,-2
intelligent,3,2,6
intense,3,1,3
interest,10,1,10
interested,4,2,8
interesting,4,2,8
interrupt,2,-2,-4
interrupted,3,-2,-6
intimacy,1,2,2
intricate,1,2,2
invulnerable,1,2,2
ironic,1,-1,-1
irritate,2,-3,-6
irritated,2,-3,-6
irritating,1,-3,-3
isolated,1,-1,-1
jealous,3,-2,-6
jewels,3,1,3
join,2,1,2
joke,4,2,8
jokes,2,2,4
jolly,5,2,10
joy,4,3,12
joyful,2,3,6
keen,1,1,1
kill,1,-3,-3
killed,3,-3,-9
killing,1,-3,-3
kind,34,2,68
kind of,25,0,0
kindness,1,2,2
lack,1,-2,-2
laugh,16,1,16
laughed,66,1,66
laughing,32,1,32
laughs,2,1,2
lawsuit,2,-2,-4
lawsuits,1,-2,-2
lazy,5,-1,-5
leading,7,2,14
leave,43,-1,-43
legally,3,1,3
liar,1,-3,-3
lifeless,1,-1,-1
like,145,2,290
liked,5,2,10
likes,7,2,14
loathing,2,-3,-6
lonely,6,-2,-12
longing,1,-1,-1
loose,1,-3,-3
losing,3,-3,-9
loss,1,-3,-3
lost,16,-3,-48
lovable,1,3,3
love,27,3,81
loved,2,3,6
